node_from,node_to,weight
LV.1642,RS.1769,1
LV.1643,RS.1782,1
LV.1643,RS.1783,1
LV.1643,RS.4921,1
LV.1644,RS.1777,1
LV.1647,RS.4917,1
LV.1647,RS.7560,1
LV.1650,RS.1783,1
LV.1653,RS.4925,1
LV.1653,RS.4929,1
LV.1656,RS.1788,1
LV.1660,RS.1784,1
LV.1667,RS.4921,1
LV.1671,RS.4925,1
LV.1672,RS.1792,1
LV.1672,RS.4923,1
LV.1674,RS.4926,1
LV.1674,RS.4929,1
LV.1675,RS.4919,1
LV.1675,RS.4923,1
LV.1676,GR.1808,1
LV.1676,GR.2911,1
LV.1677,GR.2564,1
LV.1677,GR.2911,1
LV.1678,GR.2148,1
LV.1678,GR.2378,1
LV.1679,GR.2237,1
LV.1679,GR.2911,1
LV.1680,HU.4476,1
LV.1680,HU.4477,1
LV.1680,HU.4478,1
LV.1680,HU.4479,1
LV.1680,HU.5534,1
LV.1680,AT.5599,1
LV.1681,HU.4486,1
LV.1681,HU.4500,1
LV.1681,HU.4509,1
LV.1681,HU.4510,1
LV.1681,HU.4512,1
LV.1681,HU.4533,1
LV.1681,HU.4545,1
LV.1681,HU.5536,1
LV.1681,HU.5537,1
LV.1681,HU.5538,1
LV.1682,HU.4533,1
LV.1682,HU.4534,1
LV.1682,HU.4536,1
LV.1685,PL.2511,1
LV.1685,PL.7101,1
LV.1686,PL.7123,1
LV.1686,PL.7542,1
LV.1687,SK.1858,1
LV.1687,SK.4951,1
LV.1692,SK.4967,1
LV.1693,SK.2196,1
LV.1693,SK.2797,1
LV.1694,SK.2112,1
LV.1694,SK.2253,1
LV.1694,SK.2763,1
LV.1695,SK.1870,1
LV.1695,SK.2904,1
LV.1696,SK.2112,1
LV.1697,SK.1873,1
LV.1697,SK.2763,1
LV.1698,SK.1879,1
LV.1699,SK.1878,1
LV.1699,SK.2222,1
LV.1700,SK.2570,1
LV.1701,SK.2424,1
LV.1702,SK.1930,1
LV.1702,SK.2150,1
LV.1704,SK.1942,1
LV.1704,SK.2329,1
LV.1704,SK.2788,1
LV.1705,SK.1937,1
LV.1705,SK.2450,1
LV.1706,SK.2082,1
LV.1706,SK.2186,1
LV.1708,SK.1932,1
LV.1708,SK.2772,1
LV.1709,SK.2110,1
LV.1709,SK.2113,1
LV.1710,SK.2501,1
LV.1710,CZ.2600,1
LV.1710,AT.5585,1
LV.1711,SK.2241,1
LV.1711,SK.2680,1
LV.1715,SK.2147,1
LV.1715,SK.2642,1
LV.1728,SK.2609,1
LV.1728,SK.2631,1
LV.1729,SK.1940,1
LV.1729,SK.2575,1
LV.1730,SK.1929,1
LV.1730,SK.1930,1
LV.1736,SK.2758,1
LV.1737,SK.2380,1
LV.1737,SK.2626,1
LV.1738,SK.1933,1
LV.1739,SK.1938,1
LV.1741,SK.1943,1
LV.1741,SK.2914,1
LV.1742,SK.2277,1
LV.1742,SK.2450,1
LV.1742,SK.2847,1
LV.1742,SK.2914,1
LV.1743,SK.2186,1
RS.1744,SK.1941,1
RS.1745,SK.2299,1
RS.1745,SK.2700,1
RS.1746,SK.2291,1
RS.1747,SK.2847,1
RS.1748,SK.2842,1
RS.1749,HU.4526,1
RS.1749,HU.4544,1
RS.1749,HU.7504,1
RS.1750,SK.2141,1
